"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 10:05:42 SGT 2023","Wed Apr 12 10:06:55 SGT 2023","73787","chromium","src\tests\003-access-control-testing\ac-widget-edit-view.test.ts","Access control test for widget edit view","","","Verify user can view all widgets when all widgets are assigned to the role @smoke",""
"passed","Wed Apr 12 10:05:33 SGT 2023","Wed Apr 12 10:05:41 SGT 2023","8142","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify new layout is not created on clicking the cancel button",""
"passed","Wed Apr 12 10:04:15 SGT 2023","Wed Apr 12 10:04:22 SGT 2023","6611","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify for Default layout revert changes button is disabled",""
"broken","Wed Apr 12 10:02:03 SGT 2023","Wed Apr 12 10:03:03 SGT 2023","59196","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify configure widget panel is shown when widget edit button is clicked",""
"passed","Wed Apr 12 10:05:04 SGT 2023","Wed Apr 12 10:05:09 SGT 2023","5532","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify char limit for the input box is 50",""
"passed","Wed Apr 12 10:00:57 SGT 2023","Wed Apr 12 10:01:04 SGT 2023","6344","chromium","src\tests\001-login-testing\logout-successful.test.ts","Testing logout button @smoke","","","Verify if logout button is re-directed to login page",""
"passed","Wed Apr 12 10:03:03 SGT 2023","Wed Apr 12 10:03:53 SGT 2023","49764","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget dimension is correct",""
"passed","Wed Apr 12 10:05:27 SGT 2023","Wed Apr 12 10:05:33 SGT 2023","5820","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify confirm button is enabled",""
"passed","Wed Apr 12 10:00:57 SGT 2023","Wed Apr 12 10:01:49 SGT 2023","51702","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget is shown in the grid on selecting a widget from widget list",""
"skipped","Wed Apr 12 10:07:09 SGT 2023","Wed Apr 12 10:07:09 SGT 2023","1","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether all custom layers are enabled successfully",""
