"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Mar 30 12:52:55 SGT 2023","Thu Mar 30 12:52:55 SGT 2023","0","chromium","src\tests\004-map-testing\map.test.ts","Map Testing","","","Verify whether user is able to pan to the bottom side of the map",""
"skipped","Thu Mar 30 12:53:42 SGT 2023","Thu Mar 30 12:53:42 SGT 2023","1","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify count bubble is shown when the user is not at the bottom of the messages",""
"passed","Thu Mar 30 12:45:03 SGT 2023","Thu Mar 30 12:45:12 SGT 2023","8985","chromium","src\tests\002-widget-testing\multiple-widgets.test.ts","Multiple Widgets Test","","","Verify widgets do not overlap",""
"skipped","Thu Mar 30 12:53:42 SGT 2023","Thu Mar 30 12:53:42 SGT 2023","1","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userA can view the user ""left"" chat when navigating to another page",""
"passed","Thu Mar 30 12:48:14 SGT 2023","Thu Mar 30 12:48:17 SGT 2023","3344","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page","","","Verify pop up shows 'New Page' as header",""
"passed","Thu Mar 30 12:46:10 SGT 2023","Thu Mar 30 12:46:40 SGT 2023","30008","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test","","","Verify widget is draggable",""
"broken","Thu Mar 30 12:52:56 SGT 2023","Thu Mar 30 12:53:42 SGT 2023","45760","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userA can send chat",""
"passed","Thu Mar 30 12:52:24 SGT 2023","Thu Mar 30 12:52:31 SGT 2023","6646","chromium","src\tests\003-access-control-testing\access-control-view.test.ts","Access Control View test","","","Verify user manager1 with non-admin role is not able to view the access control page ",""
"passed","Thu Mar 30 12:48:17 SGT 2023","Thu Mar 30 12:48:20 SGT 2023","3030","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page","","","Verify input box for new page is enabled by default",""
"passed","Thu Mar 30 12:45:06 SGT 2023","Thu Mar 30 12:45:13 SGT 2023","6567","chromium","src\tests\002-widget-testing\multiple-widgets.test.ts","Multiple Widgets Test","","","Verify widget dimension does not change when 2 widgets are added",""
"passed","Thu Mar 30 12:49:48 SGT 2023","Thu Mar 30 12:49:52 SGT 2023","4349","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing rename function","","","Verify input box has the page name pre-populated",""
"skipped","Thu Mar 30 12:53:42 SGT 2023","Thu Mar 30 12:53:42 SGT 2023","2","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userA can view the latest messages without scrolling if the user is at the bottom of messages",""
"passed","Thu Mar 30 12:46:51 SGT 2023","Thu Mar 30 12:47:00 SGT 2023","8853","chromium","src\tests\002-widget-testing\widget-dashboard.test.ts","Testing widget dashboard","","","Verify all layouts available in widget edit view is shown in widget view",""
"passed","Thu Mar 30 12:49:23 SGT 2023","Thu Mar 30 12:49:29 SGT 2023","5784","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page","","","Verify cancel button is enabled",""
"passed","Thu Mar 30 12:47:00 SGT 2023","Thu Mar 30 12:47:22 SGT 2023","22144","chromium","src\tests\002-widget-testing\widget-dashboard.test.ts","Testing widget dashboard","","","Verify widgets saved in the widget edit view is shown correctly in the widget view",""
"skipped","Thu Mar 30 12:54:00 SGT 2023","Thu Mar 30 12:54:00 SGT 2023","2","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing delete function","","","Verify clicking on cancel button, layout is not deleted",""
"passed","Thu Mar 30 12:48:21 SGT 2023","Thu Mar 30 12:48:28 SGT 2023","6953","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout","","","Verify on updating the widgets in grid, save button and revert changes button are enabled",""
"passed","Thu Mar 30 12:45:13 SGT 2023","Thu Mar 30 12:45:48 SGT 2023","35086","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test","","","Verify border is highlighted  when edit button is clicked",""
"passed","Thu Mar 30 12:47:22 SGT 2023","Thu Mar 30 12:47:37 SGT 2023","15503","chromium","src\tests\002-widget-testing\widget-dashboard.test.ts","Testing widget dashboard","","","Verify widgets are not draggable.",""
"skipped","Thu Mar 30 12:44:56 SGT 2023","Thu Mar 30 12:44:56 SGT 2023","1","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify component is focused when clicking tab",""
