"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 19:00:58 SGT 2023","Fri Mar 31 19:01:23 SGT 2023","25477","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify the list of participants is shown in the header of the chat",""
"skipped","Fri Mar 31 18:49:07 SGT 2023","Fri Mar 31 18:49:07 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if validation msg is shown if password length is less than required: testers",""
"skipped","Fri Mar 31 18:49:07 SGT 2023","Fri Mar 31 18:49:07 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if validation msg is shown if username length is less than required: te",""
"skipped","Fri Mar 31 18:49:07 SGT 2023","Fri Mar 31 18:49:07 SGT 2023","0","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if error message is shown with invalid credentials: admin",""
"skipped","Fri Mar 31 18:49:07 SGT 2023","Fri Mar 31 18:49:07 SGT 2023","1","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if error message is shown with invalid credentials: admin007",""
"passed","Fri Mar 31 18:49:56 SGT 2023","Fri Mar 31 18:50:10 SGT 2023","13995","chromium","src\tests\002-widget-testing\widget-dashboard.test.ts","Testing widget dashboard","","","Verify widgets are not draggable.",""
"passed","Fri Mar 31 18:49:43 SGT 2023","Fri Mar 31 18:49:56 SGT 2023","13444","chromium","src\tests\002-widget-testing\widget-dashboard.test.ts","Testing widget dashboard","","","Verify widgets saved in the widget edit view is shown correctly in the widget view",""
"skipped","Fri Mar 31 18:49:07 SGT 2023","Fri Mar 31 18:49:07 SGT 2023","1","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if login is successful with valid credentials",""
"passed","Fri Mar 31 18:53:49 SGT 2023","Fri Mar 31 18:53:57 SGT 2023","7628","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing revert changes function","","","Verify pop up shows ""Reset Page"" as header",""
"passed","Fri Mar 31 18:52:55 SGT 2023","Fri Mar 31 18:53:04 SGT 2023","8483","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing reset to default function","","","Verify clicking on confirm button, default layout is loaded",""
"passed","Fri Mar 31 18:51:09 SGT 2023","Fri Mar 31 18:51:18 SGT 2023","9619","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing new layout","","","Verify widgets can be saved to the layout",""
"passed","Fri Mar 31 18:59:31 SGT 2023","Fri Mar 31 18:59:43 SGT 2023","12279","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify count bubble is shown when the user is not at the bottom of the messages",""
"passed","Fri Mar 31 18:58:50 SGT 2023","Fri Mar 31 18:59:09 SGT 2023","19322","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userA can view the user ""left"" the chat",""
"passed","Fri Mar 31 19:00:06 SGT 2023","Fri Mar 31 19:00:29 SGT 2023","22940","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userA can view the latest messages without scrolling if the user is at the bottom of messages",""
"passed","Fri Mar 31 18:50:56 SGT 2023","Fri Mar 31 18:51:05 SGT 2023","8813","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing new layout","","","Verify on selecting the created layout, kebab menu shows the Delete,Duplicate Page,Rename,Reset to Default,Revert Changes buttons",""
"skipped","Fri Mar 31 18:49:07 SGT 2023","Fri Mar 31 18:49:07 SGT 2023","1","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if validation msg is shown if password length is less than required: ",""
"passed","Fri Mar 31 18:49:08 SGT 2023","Fri Mar 31 18:49:17 SGT 2023","9347","chromium","src\tests\002-widget-testing\multiple-widgets.test.ts","Multiple Widgets Test","","","Verify multiple widgets can be shown on the grid",""
"passed","Fri Mar 31 18:53:04 SGT 2023","Fri Mar 31 18:53:13 SGT 2023","8682","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing delete function","","","Verify pop up shows 'Delete Page' as header",""
"skipped","Fri Mar 31 19:00:06 SGT 2023","Fri Mar 31 19:00:06 SGT 2023","1","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userA can scroll to older messages",""
"failed","Fri Mar 31 18:54:50 SGT 2023","Fri Mar 31 18:55:56 SGT 2023","65812","chromium","src\tests\003-access-control-testing\ac-widget-edit-view.test.ts","Access control test for widget edit view","","","Verify user can only view those selected widgets which are assigned to the role",""
"passed","Fri Mar 31 18:49:17 SGT 2023","Fri Mar 31 18:49:26 SGT 2023","8653","chromium","src\tests\002-widget-testing\multiple-widgets.test.ts","Multiple Widgets Test","","","Verify widgets do not overlap",""
"passed","Fri Mar 31 18:53:24 SGT 2023","Fri Mar 31 18:53:36 SGT 2023","12104","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing delete function","","","Verify clicking on confirm button, layout is deleted",""
"passed","Fri Mar 31 18:53:57 SGT 2023","Fri Mar 31 18:54:04 SGT 2023","7787","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing revert changes function","","","Verify pop up shows correct message",""
"passed","Fri Mar 31 18:58:12 SGT 2023","Fri Mar 31 18:58:31 SGT 2023","18218","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userB can recieve chat",""
"passed","Fri Mar 31 18:52:47 SGT 2023","Fri Mar 31 18:52:55 SGT 2023","8360","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing reset to default function","","","Verify clicking on cancel button, default layout is not loaded",""
"passed","Fri Mar 31 18:56:12 SGT 2023","Fri Mar 31 18:56:18 SGT 2023","5436","chromium","src\tests\003-access-control-testing\access-control-view.test.ts","Access Control View test","","","Verify user admin2 with admin role is  able to view the access control page ",""
"passed","Fri Mar 31 18:53:39 SGT 2023","Fri Mar 31 18:53:42 SGT 2023","3328","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing widget menu buttons ","","","Verify save button is disabled by default",""
"passed","Fri Mar 31 18:56:29 SGT 2023","Fri Mar 31 18:56:35 SGT 2023","5532","chromium","src\tests\003-access-control-testing\access-control-view.test.ts","Access Control View test","","","Verify sorting of widgets",""
"passed","Fri Mar 31 19:00:29 SGT 2023","Fri Mar 31 19:00:58 SGT 2023","28252","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify the order of messages is correct",""
"passed","Fri Mar 31 18:52:17 SGT 2023","Fri Mar 31 18:52:28 SGT 2023","11541","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing duplicate page function","","","Verify the layout duplicated is saved",""
"passed","Fri Mar 31 18:50:30 SGT 2023","Fri Mar 31 18:50:56 SGT 2023","26131","chromium","src\tests\002-widget-testing\widget-layout.test.ts","","","","Verify layouts created by admin user is only visible to admin user",""
"passed","Fri Mar 31 18:59:09 SGT 2023","Fri Mar 31 18:59:31 SGT 2023","22011","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userA can view the user ""left"" chat when navigating to another page",""
"passed","Fri Mar 31 19:01:23 SGT 2023","Fri Mar 31 19:01:50 SGT 2023","27070","chromium","src\tests\005-comms\file-upload.test.ts","Testing comms file upload","","","Verify userA can upload file successfully",""
"skipped","Fri Mar 31 18:49:07 SGT 2023","Fri Mar 31 18:49:07 SGT 2023","0","chromium","src\tests\001-login-testing\login-session.test.ts","Testing persistent and non-persistent session","","","Verify that the user is redirected to home page even after closing the browser with 'Stay Signed in' checked",""
"passed","Fri Mar 31 19:01:50 SGT 2023","Fri Mar 31 19:02:09 SGT 2023","19235","chromium","src\tests\005-comms\file-upload.test.ts","Testing comms file upload","","","Verify userB can view the file uploaded by userA",""
"passed","Fri Mar 31 18:54:26 SGT 2023","Fri Mar 31 18:54:50 SGT 2023","23478","chromium","src\tests\003-access-control-testing\ac-widget-edit-view.test.ts","Access control test for widget edit view","","","Verify user cannot view any widgets when no widgets are assigned to the role",""
"passed","Fri Mar 31 18:56:41 SGT 2023","Fri Mar 31 18:58:12 SGT 2023","91696","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify userA can send chat",""
"passed","Fri Mar 31 18:51:18 SGT 2023","Fri Mar 31 18:51:30 SGT 2023","11396","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing new layout","","","Verify layout can be edited and saved.",""
"passed","Fri Mar 31 18:53:42 SGT 2023","Fri Mar 31 18:53:46 SGT 2023","3277","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing widget menu buttons ","","","Verify new page button is enabled by default",""
"failed","Fri Mar 31 18:56:35 SGT 2023","Fri Mar 31 18:56:40 SGT 2023","5734","chromium","src\tests\003-access-control-testing\access-control-view.test.ts","Access Control View test","","","Verify admin can view all the roles in access control view for widgets",""
"passed","Fri Mar 31 18:49:34 SGT 2023","Fri Mar 31 18:49:43 SGT 2023","8822","chromium","src\tests\002-widget-testing\widget-dashboard.test.ts","Testing widget dashboard","","","Verify all layouts available in widget edit view is shown in widget view",""
"passed","Fri Mar 31 18:59:43 SGT 2023","Fri Mar 31 19:00:06 SGT 2023","23307","chromium","src\tests\005-comms\chat.test.ts","Testing comms widget chat functionality","","","Verify count bubble shows the correct count",""
"skipped","Fri Mar 31 18:49:07 SGT 2023","Fri Mar 31 18:49:07 SGT 2023","1","chromium","src\tests\001-login-testing\login-validation.test.ts","Login validation tests","","","Verify if validation msg is shown if username length is less than required: ",""
"passed","Fri Mar 31 18:53:36 SGT 2023","Fri Mar 31 18:53:39 SGT 2023","3211","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing widget menu buttons ","","","Verify widget edit view menu item has save button, new page button and kebab menu",""
"passed","Fri Mar 31 18:52:28 SGT 2023","Fri Mar 31 18:52:33 SGT 2023","4987","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing duplicate page function","","","Verify initially created layout exist",""
