"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 22:24:55 SGT 2023","Sat Apr 01 22:25:25 SGT 2023","30537","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget dimension is correct",""
"failed","Sat Apr 01 22:27:13 SGT 2023","Sat Apr 01 22:28:43 SGT 2023","90704","chromium","src\tests\003-access-control-testing\ac-widget-edit-view.test.ts","Access control test for widget edit view","","","Verify user can view all widgets when all widgets are assigned to the role @smoke",""
"passed","Sat Apr 01 22:26:05 SGT 2023","Sat Apr 01 22:26:09 SGT 2023","4185","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify pop up shows 'New Page' as header",""
"passed","Sat Apr 01 22:24:18 SGT 2023","Sat Apr 01 22:24:55 SGT 2023","37173","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify configure widget panel is shown when widget edit button is clicked",""
"passed","Sat Apr 01 22:25:38 SGT 2023","Sat Apr 01 22:25:45 SGT 2023","6557","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify for Default layout duplicate page button is enabled",""
"broken","Sat Apr 01 22:26:24 SGT 2023","Sat Apr 01 22:27:16 SGT 2023","51630","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify the new page pop up has cancel button",""
"passed","Sat Apr 01 22:23:30 SGT 2023","Sat Apr 01 22:23:33 SGT 2023","3018","setup","src\tests\auth-setup.ts","","","","authenticate",""
"passed","Sat Apr 01 22:26:18 SGT 2023","Sat Apr 01 22:26:24 SGT 2023","5955","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify char limit for the input box is 50",""
"skipped","Sat Apr 01 22:27:21 SGT 2023","Sat Apr 01 22:27:21 SGT 2023","0","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether all custom layers are enabled successfully",""
"passed","Sat Apr 01 22:25:59 SGT 2023","Sat Apr 01 22:26:09 SGT 2023","9992","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify dragging the widget in the layout enables the save and revert changes button",""
"passed","Sat Apr 01 22:26:15 SGT 2023","Sat Apr 01 22:26:18 SGT 2023","3063","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify input box for new page is empty",""
"passed","Sat Apr 01 22:23:34 SGT 2023","Sat Apr 01 22:24:08 SGT 2023","33804","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget is shown in the grid on selecting a widget from widget list",""
"skipped","Sat Apr 01 22:27:21 SGT 2023","Sat Apr 01 22:27:21 SGT 2023","0","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify only specific layer is visible",""
"broken","Sat Apr 01 22:25:10 SGT 2023","Sat Apr 01 22:26:05 SGT 2023","54447","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widgets in the widget list is disabled when widget does not fit the grid",""
