"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 15:34:10 SGT 2023","Wed Apr 05 15:34:53 SGT 2023","43247","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify configure widget panel is shown when widget edit button is clicked",""
"passed","Wed Apr 05 15:36:41 SGT 2023","Wed Apr 05 15:36:47 SGT 2023","6311","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify the new page pop up has confirm button",""
"passed","Wed Apr 05 15:36:18 SGT 2023","Wed Apr 05 15:36:21 SGT 2023","3914","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify input box for new page is empty",""
"passed","Wed Apr 05 15:37:39 SGT 2023","Wed Apr 05 15:37:48 SGT 2023","8223","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the top side of the map",""
"passed","Wed Apr 05 15:36:55 SGT 2023","Wed Apr 05 15:37:02 SGT 2023","6875","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify new layout is not created on clicking the cancel button",""
"passed","Wed Apr 05 15:38:08 SGT 2023","Wed Apr 05 15:38:11 SGT 2023","3214","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether all custom layers are disabled successfully",""
"passed","Wed Apr 05 15:37:02 SGT 2023","Wed Apr 05 15:37:11 SGT 2023","9081","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify new layout is created when the page name is entered and click on the confirm button",""
"passed","Wed Apr 05 15:33:19 SGT 2023","Wed Apr 05 15:33:26 SGT 2023","6821","chromium","src\tests\001-login-testing\logout-successful.test.ts","Testing logout button @smoke","","","Verify if logout button is re-directed to login page",""
"broken","Wed Apr 05 15:36:26 SGT 2023","Wed Apr 05 15:37:15 SGT 2023","49117","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify the new page pop up has cancel button",""
"passed","Wed Apr 05 15:37:56 SGT 2023","Wed Apr 05 15:38:05 SGT 2023","8442","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether search button is working correctly",""
"skipped","Wed Apr 05 15:36:08 SGT 2023","Wed Apr 05 15:36:08 SGT 2023","0","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify on clicking the save button, widgets are saved",""
"passed","Wed Apr 05 15:33:19 SGT 2023","Wed Apr 05 15:34:01 SGT 2023","42083","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget is shown in the grid on selecting a widget from widget list",""
"failed","Wed Apr 05 15:35:58 SGT 2023","Wed Apr 05 15:36:08 SGT 2023","10623","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify on updating the widgets in grid, save button and revert changes button are enabled",""
"passed","Wed Apr 05 15:37:31 SGT 2023","Wed Apr 05 15:37:39 SGT 2023","8529","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the left side of the map",""
"passed","Wed Apr 05 15:36:47 SGT 2023","Wed Apr 05 15:36:51 SGT 2023","4196","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify cancel button is enabled",""
"passed","Wed Apr 05 15:33:26 SGT 2023","Wed Apr 05 15:34:10 SGT 2023","44264","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify border is highlighted  when edit button is clicked",""
"passed","Wed Apr 05 15:35:45 SGT 2023","Wed Apr 05 15:35:52 SGT 2023","6322","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify for Default layout duplicate page button is enabled",""
"passed","Wed Apr 05 15:36:21 SGT 2023","Wed Apr 05 15:36:26 SGT 2023","4271","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify char limit for the input box is 50",""
"passed","Wed Apr 05 15:35:52 SGT 2023","Wed Apr 05 15:35:58 SGT 2023","5817","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify for Default layout revert changes button is disabled",""
"passed","Wed Apr 05 15:35:26 SGT 2023","Wed Apr 05 15:36:41 SGT 2023","74889","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widgets in the widget list is disabled when widget does not fit the grid",""
"passed","Wed Apr 05 15:36:51 SGT 2023","Wed Apr 05 15:36:55 SGT 2023","3695","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify confirm button is enabled",""
"passed","Wed Apr 05 15:37:16 SGT 2023","Wed Apr 05 15:37:22 SGT 2023","6071","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to zoom the map",""
"passed","Wed Apr 05 15:36:13 SGT 2023","Wed Apr 05 15:36:18 SGT 2023","4392","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify input box for new page is enabled by default",""
"passed","Wed Apr 05 15:36:09 SGT 2023","Wed Apr 05 15:36:13 SGT 2023","4524","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify pop up shows 'New Page' as header",""
"passed","Wed Apr 05 15:35:34 SGT 2023","Wed Apr 05 15:35:38 SGT 2023","4854","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify layout with name Default is shown",""
"passed","Wed Apr 05 15:37:48 SGT 2023","Wed Apr 05 15:37:56 SGT 2023","8675","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the bottom side of the map",""
"passed","Wed Apr 05 15:37:22 SGT 2023","Wed Apr 05 15:37:31 SGT 2023","8931","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the right side of the map",""
"passed","Wed Apr 05 15:34:42 SGT 2023","Wed Apr 05 15:35:26 SGT 2023","43471","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget is draggable",""
"skipped","Wed Apr 05 15:36:08 SGT 2023","Wed Apr 05 15:36:08 SGT 2023","1","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify dragging the widget in the layout enables the save and revert changes button",""
"passed","Wed Apr 05 15:38:11 SGT 2023","Wed Apr 05 15:38:15 SGT 2023","4043","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify only specific layer is visible",""
"passed","Wed Apr 05 15:34:01 SGT 2023","Wed Apr 05 15:34:42 SGT 2023","41066","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify highlight border is removed when edit button is clicked in editmode.",""
"passed","Wed Apr 05 15:37:11 SGT 2023","Wed Apr 05 15:37:55 SGT 2023","44298","chromium","src\tests\003-access-control-testing\ac-widget-edit-view.test.ts","Access control test for widget edit view","","","Verify user can view all widgets when all widgets are assigned to the role @smoke",""
